user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
4,billiards,static,45,478.7265610883919,0.6027689030883919,28.08248962087327
5,billiards,static,45,735.5790239052512,0.3299086757990868,18.196751742009134
6,billiards,static,45,127.36205093681045,0.9729187562688064,4.895325387161485
7,billiards,static,45,132.30297113052208,0.9678714859437751,4.870345706827309
0,billiards,static,50,151.99696155935612,0.93158953722334,5.832415440643864
1,billiards,static,50,374.6616973582996,0.7004048582995951,32.43666744534413
2,billiards,static,50,683.3207258866094,0.38120950323974084,24.085237117710584
3,billiards,static,50,154.18720642222223,0.9292929292929293,5.391198629292929
4,billiards,static,50,597.667765293608,0.46912242686890576,33.008383125677135
5,billiards,static,50,679.8973650862448,0.38209606986899564,52.53591393777293
6,billiards,static,50,115.14388064428857,0.969939879759519,4.266903412825651
7,billiards,static,50,114.800318016016,0.96996996996997,4.5025434364364365
0,billiards,static,55,129.60048019157472,0.9418254764292878,4.861555386158476
1,billiards,static,55,364.08118212512824,0.7025641025641025,12.72798547179487
2,billiards,static,55,920.9118339605859,0.13175675675675674,33.25884958445946
3,billiards,static,55,129.29182128844224,0.942713567839196,5.278307120603015
4,billiards,static,55,629.0543050119828,0.43137254901960786,42.05843938453159
5,billiards,static,55,677.8184522637133,0.3808016877637131,65.14589571202531
6,billiards,static,55,93.687404802,0.979,4.244763774999999
7,billiards,static,55,119.92343483183184,0.9519519519519519,5.0128022802802805
0,billiards,static,60,99.138889504008,0.9629258517034068,4.733697886773547
1,billiards,static,60,396.84168706515,0.6618407445708376,36.56937377973113
2,billiards,static,60,968.6530628928965,0.08306010928961749,72.2079266010929
3,billiards,static,60,144.32750028212854,0.9166666666666666,6.299138381526105
4,billiards,static,60,662.0066495818818,0.39256678281068524,42.040727927990716
5,billiards,static,60,909.6355182722033,0.14186851211072665,81.4928784486736
6,billiards,static,60,91.22387993186373,0.9709418837675351,4.434248571142284
7,billiards,static,60,112.80825964964966,0.948948948948949,8.777045505505505
0,billiards,static,65,111.87439480937819,0.9408766564729868,5.595862337410805
1,billiards,static,65,383.47382929248204,0.6694129763130793,18.47582504222451
2,billiards,static,65,962.0588791205677,0.08865248226950355,73.10179749172576
3,billiards,static,65,160.847288795569,0.892245720040282,6.00926413897281
4,billiards,static,65,742.6446326100562,0.30837988826815643,28.81464272402235
5,billiards,static,65,936.8984702513969,0.11396648044692738,61.48873165921787
6,billiards,static,65,86.50820446546547,0.9669669669669669,4.525903579579579
7,billiards,static,65,121.59497560441766,0.9317269076305221,5.490037430722891
0,billiards,static,70,106.65635716032065,0.9398797595190381,5.059500412825652
1,billiards,static,70,487.61616482594604,0.56,35.285301936216214
2,billiards,static,70,1050.2572660000005,0.0,50.71323723169399
3,billiards,static,70,178.0089105907723,0.8686058174523571,7.261645387161485
4,billiards,static,70,699.374351824859,0.34915254237288135,30.184709874576274
5,billiards,static,70,980.9210021309259,0.06884875846501129,79.86754213882618
6,billiards,static,70,84.249778794,0.962,4.526809516
7,billiards,static,70,114.4536920431727,0.9317269076305221,5.456067151606426
0,billiards,static,75,179.84658791793316,0.8611955420466059,6.756788474164134
1,billiards,static,75,532.4227602549236,0.513129102844639,40.77375612910285
2,billiards,static,75,1050.2572660000003,0.0,47.51476144188862
3,billiards,static,75,331.99802756243554,0.7110423116615067,10.421021770897832
4,billiards,static,75,650.924321294737,0.39473684210526316,55.323288461052634
5,billiards,static,75,1014.5138353485528,0.035634743875278395,109.73005848663699
6,billiards,static,75,130.1802405422535,0.9104627766599598,5.853975561368209
7,billiards,static,75,165.37873421485943,0.8755020080321285,7.110390050200804
0,billiards,static,80,200.79051749166672,0.8354166666666667,6.977335957291667
1,billiards,static,80,509.25151236924825,0.5331088664421998,47.876689613916945
2,billiards,static,80,1050.2572660000005,0.0,48.93323028740582
3,billiards,static,80,410.1692740431655,0.6300102774922919,15.185980419321687
4,billiards,static,80,774.4630640724804,0.2718006795016987,59.34957054926387
5,billiards,static,80,1022.2554914041336,0.027554535017221583,41.05151651320321
6,billiards,static,80,141.09377861022048,0.8947895791583166,7.895079044088177
7,billiards,static,80,195.07996090936558,0.8418932527693856,6.630750435045318
