mode,run_id,num_users,user_id,compression_level,total_frames,on_time_frames,avg_delay_ms,delay_reliability,user_satisfied,avg_mse,avg_cqi
ml,33,9,6,25,1074,992,5.1232,0.92365,0,277.727,14.0794
ml,33,9,7,40,1074,1015,4.33656,0.945065,0,169.274,14.8067
ml,33,9,8,25,1074,941,5.70737,0.8761639999999999,0,314.259,14.0096
ml,29,7,0,45,1074,949,4.67829,0.883613,0,206.265,14.2628
ml,29,7,1,45,1074,853,6.78947,0.794227,0,286.775,14.3363
ml,29,7,2,25,1074,871,6.07896,0.8109869999999999,0,365.496,13.9679
ml,29,7,3,25,1074,897,6.65449,0.8351959999999999,0,347.783,14.152
ml,29,7,4,15,1074,956,2.82816,0.8901300000000001,0,431.277,13.9932
ml,29,7,5,25,1074,823,10.2386,0.766294,0,401.749,13.9799
ml,29,7,6,25,1074,1008,4.80146,0.9385469999999999,0,266.751,14.0299
random,12,7,0,25,1074,916,5.97387,0.852886,0,334.512,14.2253
random,12,7,1,75,1074,429,6.65847,0.399441,0,616.601,14.1305
random,12,7,2,50,1074,654,6.17072,0.608939,0,443.242,14.0361
random,12,7,3,80,1074,374,7.28277,0.34823099999999996,0,663.682,14.1819
random,12,7,4,80,1074,363,8.84542,0.33798900000000004,0,673.541,14.0068
random,12,7,5,65,1074,460,9.1147,0.428305,0,594.425,13.9433
random,12,7,6,40,1074,891,5.11682,0.8296089999999999,0,270.685,14.0648
ml,36,10,0,30,1074,945,6.93923,0.879888,0,275.432,14.2476
ml,36,10,1,20,1074,899,3.49704,0.837058,0,393.387,13.7753
ml,36,10,2,25,1074,856,7.43203,0.79702,0,377.812,14.0241
ml,36,10,3,40,1074,987,4.0342,0.918994,0,192.477,14.6027
ml,36,10,4,35,1074,948,5.03125,0.882682,0,245.789,14.4687
ml,36,10,5,20,1074,898,3.8727,0.8361270000000001,0,394.053,13.9593
ml,36,10,6,40,1074,997,3.99108,0.928305,0,184.225,14.8405
ml,36,10,7,40,1074,1022,3.44905,0.951583,0,163.478,14.8999
ml,36,10,8,25,1074,873,7.39819,0.8128489999999999,0,364.134,14.0459
ml,36,10,9,40,1074,1037,3.68702,0.965549,0,151.456,14.9563
ml,35,10,0,30,1074,932,6.26536,0.867784,0,285.119,14.2621
ml,35,10,1,25,1074,746,12.6288,0.6945999999999999,0,456.141,13.7566
ml,35,10,2,25,1074,826,8.26734,0.769088,0,399.072,13.92
ml,35,10,3,40,1074,987,3.58857,0.918994,0,192.055,14.5853
ml,35,10,4,35,1074,919,5.74711,0.85568,0,268.303,14.4318
ml,35,10,5,20,1074,835,5.12947,0.777467,0,436.641,13.8498
ml,35,10,6,40,1074,980,4.08956,0.912477,0,197.917,14.6812
ml,35,10,7,40,1074,1015,3.58951,0.945065,0,169.062,14.8995
ml,35,10,8,25,1074,925,5.0807,0.861266,0,327.686,14.0423
ml,35,10,9,40,1074,1030,3.46118,0.959032,0,156.806,14.925
