frame,latent_dim,mse,ae_size_bytes,encoded_size_bytes,raw_size_bytes,pict_type
1,372,166.24431711388752,91634,68,150528,B
2,0,0.0,150528,68,150528,B
2,4,524.634839175269,4278,68,150528,B
2,20,515.0574542814866,8076,68,150528,B
2,36,499.3029350065626,11874,68,150528,B
2,52,460.49650678178295,15673,68,150528,B
2,68,423.47478994634,19471,68,150528,B
2,84,415.1490436401218,23269,68,150528,B
2,100,367.7301513380371,27067,68,150528,B
2,116,371.9827733002603,30865,68,150528,B
2,132,345.4161568544805,34663,68,150528,B
2,148,316.4668972603977,38461,68,150528,B
2,164,282.60564658557996,42259,68,150528,B
2,180,251.583489269251,46057,68,150528,B
2,196,252.3495789268054,49855,68,150528,B
2,212,251.94354429258965,53653,68,150528,B
2,228,222.55992347490974,57451,68,150528,B
2,244,206.96355468244292,61249,68,150528,B
2,260,242.81516082119197,65047,68,150528,B
2,276,205.01955732470378,68845,68,150528,B
2,292,217.7290060906671,72644,68,150528,B
2,308,203.03893676027656,76442,68,150528,B
2,324,174.14469524519518,80240,68,150528,B
2,340,210.57591396966018,84038,68,150528,B
2,356,179.4744088954758,87836,68,150528,B
2,372,166.24489242676646,91634,68,150528,B
3,0,0.0,150528,90,150528,P
3,4,524.6344758197665,4278,90,150528,P
3,20,515.0570303667337,8076,90,150528,P
3,36,499.3023596936837,11874,90,150528,P
3,52,460.49556811340153,15673,90,150528,P
3,68,423.47282177070156,19471,90,150528,P
3,84,415.15052734175697,23269,90,150528,P
3,100,367.73078721016645,27067,90,150528,P
3,116,371.9852562295273,30865,90,150528,P
3,132,345.4225761350244,34663,90,150528,P
3,148,316.46629166789353,38461,90,150528,P
3,164,282.6063430169597,42259,90,150528,P
3,180,251.58548772451468,46057,90,150528,P
3,196,252.35110804787837,49855,90,150528,P
3,212,251.9395322422497,53653,90,150528,P
3,228,222.56170997279696,57451,90,150528,P
3,244,206.96444793138653,61249,90,150528,P
3,260,242.81755291158333,65047,90,150528,P
3,276,205.0222067919094,68845,90,150528,P
3,292,217.7315344393719,72644,90,150528,P
3,308,203.03768015583046,76442,90,150528,P
3,324,174.145618773764,80240,90,150528,P
3,340,210.57820008136332,84038,90,150528,P
3,356,179.4761651137378,87836,90,150528,P
3,372,166.2476630124729,91634,90,150528,P
4,0,0.0,150528,68,150528,B
4,4,524.6344758197665,4278,68,150528,B
4,20,515.0570303667337,8076,68,150528,B
4,36,499.3023596936837,11874,68,150528,B
4,52,460.49556811340153,15673,68,150528,B
4,68,423.47285205032676,19471,68,150528,B
4,84,415.15052734175697,23269,68,150528,B
4,100,367.73078721016645,27067,68,150528,B
4,116,371.9852562295273,30865,68,150528,B
4,132,345.4225761350244,34663,68,150528,B
4,148,316.46629166789353,38461,68,150528,B
4,164,282.6063430169597,42259,68,150528,B
4,180,251.58548772451468,46057,68,150528,B
4,196,252.35110804787837,49855,68,150528,B
4,212,251.9395322422497,53653,68,150528,B
4,228,222.56170997279696,57451,68,150528,B
4,244,206.96444793138653,61249,68,150528,B
4,260,242.81755291158333,65047,68,150528,B
4,276,205.0222067919094,68845,68,150528,B
4,292,217.7315344393719,72644,68,150528,B
4,308,203.03768015583046,76442,68,150528,B
4,324,174.145618773764,80240,68,150528,B
4,340,210.57820008136332,84038,68,150528,B
4,356,179.4761651137378,87836,68,150528,B
4,372,166.2476630124729,91634,68,150528,B
5,0,0.0,150528,68,150528,B
5,4,524.6344758197665,4278,68,150528,B
5,20,515.0570303667337,8076,68,150528,B
5,36,499.3023596936837,11874,68,150528,B
5,52,460.49556811340153,15673,68,150528,B
5,68,423.47282177070156,19471,68,150528,B
5,84,415.15046678250656,23269,68,150528,B
5,100,367.73078721016645,27067,68,150528,B
5,116,371.9852562295273,30865,68,150528,B
5,132,345.4225761350244,34663,68,150528,B
5,148,316.46629166789353,38461,68,150528,B
5,164,282.6063430169597,42259,68,150528,B
5,180,251.58548772451468,46057,68,150528,B
5,196,252.35110804787837,49855,68,150528,B
5,212,251.9395322422497,53653,68,150528,B
5,228,222.56170997279696,57451,68,150528,B
5,244,206.96444793138653,61249,68,150528,B
5,260,242.81755291158333,65047,68,150528,B
