frameNumber,repetition,user0_components,user0_effectiveError,user0_delay_ms,user0_cqi,user0_frame_rate,user1_components,user1_effectiveError,user1_delay_ms,user1_cqi,user1_frame_rate,user2_components,user2_effectiveError,user2_delay_ms,user2_cqi,user2_frame_rate,user3_components,user3_effectiveError,user3_delay_ms,user3_cqi,user3_frame_rate,user4_components,user4_effectiveError,user4_delay_ms,user4_cqi,user4_frame_rate,user5_components,user5_effectiveError,user5_delay_ms,user5_cqi,user5_frame_rate,user6_components,user6_effectiveError,user6_delay_ms,user6_cqi,user6_frame_rate,user7_components,user7_effectiveError,user7_delay_ms,user7_cqi,user7_frame_rate,user8_components,user8_effectiveError,user8_delay_ms,user8_cqi,user8_frame_rate,user9_components,user9_effectiveError,user9_delay_ms,user9_cqi,user9_frame_rate,num_users,error_at_80,error_ratio
65,1,80,1289.039566,2.988979,15,120,35,40582.367921,38.733008,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1289.039565617452,1.8533980197990865
66,1,35,1368.910941,2.100057,15,120,65,40582.367921,28.525957,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1169.556701667222,2.006136359670367
67,1,5,2316.18867,2.51121,15,120,75,40582.367921,15.344607,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,996.3457145437724,2.324683727730211
68,1,50,879.639962,2.230261,15,120,40,991.565845,5.5556,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,726.8033467820273,3.1392373086733287
71,1,75,412.878622,2.725791,15,120,75,412.878622,8.450268,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,407.1553105880885,5.404995702680399
72,1,80,495.972563,2.62576,15,120,30,930.903698,8.365996,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,495.97256279604215,4.414485541716356
74,1,25,1726.014655,2.155651,15,120,60,716.600514,5.917418,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,674.6674716253823,3.241348377818171
75,1,35,1008.30666,2.132904,15,120,55,826.902496,6.539186,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,761.5350988148822,2.871068006758249
76,1,40,1009.868436,2.180294,15,120,70,816.444756,8.189105,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,795.6789942703391,2.7481876459515804
77,1,1,3790.147194,2.433457,15,120,55,871.647639,9.333268,12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,813.7137003593441,2.6826715453497707
