frame,keep_ratio,mse,size_bytes
6,0.8,90.70576638914645,20068
6,0.75,90.70576638914645,18816
6,0.7000000000000001,90.70576638914645,17560
6,0.65,90.70576638914645,16304
6,0.6000000000000001,90.70576638914645,15052
6,0.55,90.70576638914645,13796
6,0.5,90.70576638914645,12544
6,0.45,90.70576638914645,11288
6,0.4,90.70576638914645,10032
6,0.35000000000000003,90.70576638914645,8780
6,0.30000000000000004,90.70576638914645,7524
6,0.25,90.70576638914645,6272
6,0.2,90.70576638914645,5016
6,0.15000000000000002,90.70576638914645,3760
6,0.1,90.39856445160694,2508
6,0.05,90.91811740072444,1252
7,0.8,3.653203426347318,20068
7,0.75,3.653203426347318,18816
7,0.7000000000000001,3.653203426347318,17560
7,0.65,3.653203426347318,16304
7,0.6000000000000001,3.653203426347318,15052
7,0.55,3.653203426347318,13796
7,0.5,3.653203426347318,12544
7,0.45,3.653203426347318,11288
7,0.4,3.653203426347318,10032
7,0.35000000000000003,3.653203426347318,8780
7,0.30000000000000004,3.653203426347318,7524
7,0.25,3.653203426347318,6272
7,0.2,3.653203426347318,5016
7,0.15000000000000002,3.653203426347318,3760
7,0.1,3.345956542489148,2508
7,0.05,1.5145743152061186,1252
8,0.8,690.2698999503627,20068
8,0.75,690.2698999503627,18816
8,0.7000000000000001,690.2698999503627,17560
8,0.65,689.8600955028087,16304
8,0.6000000000000001,707.4553434737027,15052
8,0.55,796.5205597691238,13796
8,0.5,1026.682168012485,12544
8,0.45,1360.2788548450917,11288
8,0.4,1833.5902137681842,10032
8,0.35000000000000003,2397.5392704829574,8780
8,0.30000000000000004,3169.1770032048225,7524
8,0.25,4184.8864406347275,6272
8,0.2,5556.658108904958,5016
8,0.15000000000000002,7346.509525179863,3760
8,0.1,9307.886055484414,2508
8,0.05,11746.453975886106,1252
9,0.8,19.85325828936766,20068
9,0.75,19.85325828936766,18816
9,0.7000000000000001,19.85325828936766,17560
9,0.65,19.853256396891084,16304
9,0.6000000000000001,19.85325828936766,15052
9,0.55,19.85325828936766,13796
9,0.5,19.85325828936766,12544
9,0.45,19.85325828936766,11288
9,0.4,19.85325828936766,10032
9,0.35000000000000003,19.85325828936766,8780
9,0.30000000000000004,19.853254504414508,7524
9,0.25,19.85325828936766,6272
9,0.2,19.85325828936766,5016
9,0.15000000000000002,19.85325828936766,3760
9,0.1,20.1240584399784,2508
9,0.05,33.05522597656818,1252
10,0.8,397.40260950056836,20068
10,0.75,397.40260950056836,18816
10,0.7000000000000001,397.40260950056836,17560
10,0.65,397.40260950056836,16304
10,0.6000000000000001,397.40260950056836,15052
10,0.55,397.40260950056836,13796
10,0.5,397.40260950056836,12544
10,0.45,397.40260950056836,11288
10,0.4,397.40260950056836,10032
10,0.35000000000000003,397.40260950056836,8780
10,0.30000000000000004,397.40260950056836,7524
10,0.25,397.40260950056836,6272
10,0.2,397.40260950056836,5016
10,0.15000000000000002,398.4997008810751,3760
10,0.1,409.53005359042436,2508
10,0.05,460.38601642940193,1252
11,0.8,20.0074459258758,20068
11,0.75,20.007444033399224,18816
11,0.7000000000000001,20.007444033399224,17560
11,0.65,20.007444033399224,16304
11,0.6000000000000001,20.007444033399224,15052
11,0.55,20.007444033399224,13796
11,0.5,20.0074459258758,12544
11,0.45,20.0074459258758,11288
11,0.4,20.007444033399224,10032
11,0.35000000000000003,20.0074459258758,8780
