user,packet_id,size_bytes,delay_ms,success,mse,mse_contrib
0,61,48142,9.834896,0,0.0006574190,0.0006574190
7,58,66751,25.667442,0,0.0029508330,0.0029508330
1,67,58251,13.264926,0,0.0043260370,0.0043260370
4,65,52615,14.707762,0,0.0033879600,0.0033879600
3,66,57212,14.365525,0,0.0072900080,0.0072900080
2,68,53182,13.565436,0,0.0023088880,0.0023088880
8,69,49343,17.752816,0,0.0048685670,0.0048685670
5,64,66500,19.268927,0,0.0018384980,0.0018384980
6,70,56763,18.962041,0,0.0043352780,0.0043352780
0,71,49254,10.556071,0,0.0007117900,0.0007117900
9,63,52430,26.816946,0,0.0026402940,0.0026402940
2,73,54378,12.832111,0,0.0023215240,0.0023215240
1,77,61109,11.884229,0,0.0041151340,0.0041151340
3,75,57433,13.713318,0,0.0072823440,0.0072823440
4,78,53196,13.383493,0,0.0034384450,0.0034384450
7,62,68515,31.962019,0,0.0028808400,0.0028808400
8,79,49818,17.369027,0,0.0060434240,0.0060434240
6,72,48498,22.438572,0,0.0037860860,0.0037860860
5,80,67698,18.944223,0,0.0025290110,0.0025290110
1,81,59723,8.704291,0,0.0040568600,0.0040568600
0,90,49721,9.827426,0,0.0006931380,0.0006931380
2,87,55721,11.574334,0,0.0022954550,0.0022954550
9,76,53896,31.211507,0,0.0027640490,0.0027640490
3,88,57746,12.465146,0,0.0072500220,0.0072500220
4,89,53259,12.334179,0,0.0033533260,0.0033533260
7,74,69700,37.170310,0,0.0026322520,0.0026322520
6,86,52543,18.314249,0,0.0090161040,0.0090161040
5,85,69618,23.249835,0,0.0033119750,0.0033119750
8,84,50560,25.106808,0,0.0069241120,0.0069241120
0,99,50721,9.191276,0,0.0006815410,0.0006815410
9,83,55595,31.874517,0,0.0027286320,0.0027286320
2,95,56168,13.452617,0,0.0026669580,0.0026669580
4,92,53599,15.188589,0,0.0033852700,0.0033852700
1,100,61384,12.140199,0,0.0039788200,0.0039788200
3,98,57693,15.331605,0,0.0072898900,0.0072898900
6,91,49112,23.291579,0,0.0050397000,0.0050397000
7,82,70698,45.385121,0,0.0025651900,0.0025651900
5,96,69941,26.916227,0,0.0021120610,0.0021120610
8,93,50837,27.377482,0,0.0082382950,0.0082382950
0,108,52004,11.646506,0,0.0007044750,0.0007044750
2,106,56820,12.838104,0,0.0031508930,0.0031508930
4,103,53894,14.553494,0,0.0033311650,0.0033311650
1,109,58372,12.883558,0,0.0038703860,0.0038703860
3,101,57876,17.150481,0,0.0073442370,0.0073442370
0,111,52893,10.455944,0,0.0007221790,0.0007221790
9,94,56891,40.376456,0,0.0026931630,0.0026931630
6,102,53425,25.524415,0,0.0037171250,0.0037171250
8,107,51237,26.221215,0,0.0067976660,0.0067976660
1,112,61055,15.047060,0,0.0038747880,0.0038747880
5,104,69826,30.058101,0,0.0021683770,0.0021683770
2,119,57640,12.595576,0,0.0023572480,0.0023572480
3,114,57932,14.924193,0,0.0073312640,0.0073312640
4,118,54441,13.912780,0,0.0033120920,0.0033120920
7,97,72404,52.905046,0,0.0025839840,0.0025839840
6,120,47195,22.746783,0,0.0033221590,0.0033221590
0,124,53803,9.812508,0,0.0007111590,0.0007111590
9,105,58177,44.723135,0,0.0034290910,0.0034290910
1,121,59538,13.816267,0,0.0038389780,0.0038389780
3,125,58213,14.348674,0,0.0075526770,0.0075526770
8,117,51614,29.978310,0,0.0047998770,0.0047998770
2,126,57926,14.255815,0,0.0023462700,0.0023462700
4,127,54723,14.200069,0,0.0032966870,0.0032966870
5,113,70062,33.872433,0,0.0022831210,0.0022831210
6,129,53012,23.690177,0,0.0034467420,0.0034467420
0,137,53890,10.896876,0,0.0006999730,0.0006999730
