user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms,expected_frames,received_frames,late_frames,lost_frames,delivery_ratio,loss_ratio,missing_only_lost,incomplete_lost,eval_source
6,billiardstest,static,65,1016.68,0.0,11.9345,1000,494,494,506,0.494,0.506,506,0,summary
7,billiardstest,static,65,1016.68,0.0,4.92177,1000,498,498,502,0.498,0.502,502,0,summary
8,billiardstest,static,65,1016.68,0.0,8.09511,1000,494,494,506,0.494,0.506,506,0,summary
9,billiardstest,static,65,1016.68,0.0,5.65472,1000,499,499,501,0.499,0.501,501,0,summary
0,billiardstest,static,70,1016.68,0.0,2.97758,1000,500,500,500,0.5,0.5,500,0,summary
1,billiardstest,static,70,1016.68,0.0,8.37565,1000,491,491,509,0.491,0.509,509,0,summary
2,billiardstest,static,70,1016.68,0.0,7.28615,1000,496,496,504,0.496,0.504,504,0,summary
3,billiardstest,static,70,1016.68,0.0,6.07694,1000,494,494,506,0.494,0.506,506,0,summary
4,billiardstest,static,70,1016.68,0.0,7.39689,1000,494,494,506,0.494,0.506,506,0,summary
5,billiardstest,static,70,1016.68,0.0,9.97696,1000,492,492,508,0.492,0.508,508,0,summary
6,billiardstest,static,70,1016.68,0.0,6.89562,1000,494,494,506,0.494,0.506,506,0,summary
7,billiardstest,static,70,1016.68,0.0,4.70075,1000,498,498,502,0.498,0.502,502,0,summary
8,billiardstest,static,70,1016.68,0.0,6.38425,1000,495,495,505,0.495,0.505,505,0,summary
9,billiardstest,static,70,1016.68,0.0,5.48049,1000,496,496,504,0.496,0.504,504,0,summary
0,billiardstest,static,75,1016.68,0.0,3.03497,1000,500,500,500,0.5,0.5,500,0,summary
1,billiardstest,static,75,1016.68,0.0,9.14261,1000,489,489,511,0.489,0.511,511,0,summary
2,billiardstest,static,75,1016.68,0.0,7.03433,1000,494,494,506,0.494,0.506,506,0,summary
3,billiardstest,static,75,1016.68,0.0,5.5269,1000,497,497,503,0.497,0.503,503,0,summary
4,billiardstest,static,75,1016.68,0.0,7.79846,1000,493,493,507,0.493,0.507,507,0,summary
5,billiardstest,static,75,1016.68,0.0,11.4907,1000,488,488,512,0.488,0.512,512,0,summary
6,billiardstest,static,75,1016.68,0.0,6.79817,1000,495,495,505,0.495,0.505,505,0,summary
7,billiardstest,static,75,1016.68,0.0,6.65735,1000,494,494,506,0.494,0.506,506,0,summary
8,billiardstest,static,75,1016.68,0.0,7.97447,1000,493,493,507,0.493,0.507,507,0,summary
9,billiardstest,static,75,1016.68,0.0,4.82136,1000,498,498,502,0.498,0.502,502,0,summary
0,billiardstest,static,80,1016.68,0.0,3.12558,1000,500,500,500,0.5,0.5,500,0,summary
1,billiardstest,static,80,1016.68,0.0,7.56161,1000,491,491,509,0.491,0.509,504,5,summary
2,billiardstest,static,80,1016.68,0.0,8.02363,1000,498,498,502,0.498,0.502,500,2,summary
3,billiardstest,static,80,1016.68,0.0,6.79476,1000,494,494,506,0.494,0.506,500,6,summary
4,billiardstest,static,80,1016.68,0.0,8.81956,1000,492,492,508,0.492,0.508,502,6,summary
5,billiardstest,static,80,1016.68,0.0,9.52416,1000,486,486,514,0.486,0.514,504,10,summary
6,billiardstest,static,80,1016.68,0.0,7.28167,1000,492,492,508,0.492,0.508,502,6,summary
7,billiardstest,static,80,1016.68,0.0,5.36676,1000,497,497,503,0.497,0.503,500,3,summary
8,billiardstest,static,80,1016.68,0.0,8.41849,1000,490,490,510,0.49,0.51,501,9,summary
9,billiardstest,static,80,1016.68,0.0,4.71187,1000,498,498,502,0.498,0.502,500,2,summary
