user,video,strategy,comp_level,mean_effective_error,on_time_ratio,mean_delay_ms
8,billiards,static,15,463.01578547400004,0.856,2.808497424
9,billiards,static,15,448.008581214,0.879,2.714788571
0,billiards,static,20,338.53449117199995,0.922,2.5234782910000004
1,billiards,static,20,558.471792324,0.636,4.734939691
2,billiards,static,20,685.4124262290001,0.467,4.685534985
3,billiards,static,20,387.76204684600003,0.857,2.6516726669999997
4,billiards,static,20,576.6259003060002,0.611,4.978544705
5,billiards,static,20,678.1427730330001,0.478,5.983707665999999
6,billiards,static,20,577.639537398,0.612,4.960028519000001
7,billiards,static,20,457.53436875700004,0.766,3.4522625369999997
8,billiards,static,20,493.7849627070001,0.722,3.9089693270000003
9,billiards,static,20,408.849751891,0.83,2.795288571
0,billiards,static,25,407.378760877,0.773,3.8976884290000005
1,billiards,static,25,653.424372866,0.476,9.172448824
2,billiards,static,25,902.5111180640002,0.177,5.908540493
3,billiards,static,25,620.9490071540001,0.516,4.436255741999999
4,billiards,static,25,735.6944192410002,0.378,8.62248286
5,billiards,static,25,846.7634785120003,0.245,8.533539526
6,billiards,static,25,704.0755569520002,0.416,13.191072402000001
7,billiards,static,25,589.835188364,0.553,6.3852100400000005
8,billiards,static,25,630.0498425350002,0.505,8.853566906
9,billiards,static,25,603.9489394010002,0.537,3.985157661
0,billiards,static,30,452.7022434670001,0.684,3.5871875209999997
1,billiards,static,30,683.511408887,0.421,6.994329422999999
2,billiards,static,30,899.1168671410003,0.174,7.846552129
3,billiards,static,30,682.9155037260002,0.421,5.143262290000001
4,billiards,static,30,830.6494646020002,0.251,8.292777451
5,billiards,static,30,866.3335103730003,0.21,8.140807805
6,billiards,static,30,735.4283146000001,0.361,10.381600029000001
7,billiards,static,30,599.9405291100002,0.515,4.566295005
8,billiards,static,30,681.1408345330001,0.422,8.849446504
9,billiards,static,30,665.1044346010002,0.441,4.1947372089999995
0,billiards,static,35,509.1739248680001,0.598,3.8655322669999994
1,billiards,static,35,729.4872056280002,0.354,11.200885920000001
